@{Name=ussupskycol1} ; @{Name=; Running OS=Red Hat Enterprise Linux 6 (64-bit); IP Address=148.175.66.170} ; 42170fe6-6149-f795-2e40-e1bd29d1461e  
@{Name=BRBSBFS3} ; @{Name=; Running OS=Microsoft Windows Server 2016 or later (64-bit); IP Address=10.184.0.213} ; 42092df3-1b3b-f99f-9c9d-bdd667b3ba9b  
@{Name=BRBSBFS4} ; @{Name=; Running OS=Microsoft Windows Server 2016 or later (64-bit); IP Address=10.184.0.196} ; 42094252-3a4d-32c9-be3d-65ce7f2481e6  
@{Name=BRBSBGIS1} ; @{Name=; Running OS=Microsoft Windows Server 2019 (64-bit); IP Address=10.184.0.205} ; 564d2e6a-6339-82cd-4338-600ebfe886b7  
@{Name=BRBSBGISAP2} ; @{Name=; Running OS=Microsoft Windows Server 2019 (64-bit); IP Address=10.184.0.199} ; 4209880d-8c79-de33-e588-7e45c0c24ec8  
@{Name=BRBSBSQL3} ; @{Name=; Running OS=Microsoft Windows Server 2008 R2 (64-bit); IP Address=} ; 420980c3-ccd7-dfac-340f-86822bd2bb60  
@{Name=BRBSBSQL4} ; @{Name=; Running OS=Microsoft Windows Server 2016 or later (64-bit); IP Address=10.184.0.210} ; 4209dcf9-3a89-4a65-94e3-a4a44aaa71bd  
@{Name=BRBSBTS1} ; @{Name=; Running OS=Microsoft Windows Server 2019 (64-bit); IP Address=10.184.0.200} ; 420902f6-05de-7c38-862d-724de65f6273  
@{Name=BRGRUFS2} ; @{Name=; Running OS=Microsoft Windows Server 2019 (64-bit); IP Address=148.175.206.20} ; 4209ca1d-dd90-ba20-d4fc-66438800abd9  
@{Name=BRGRUINFRA1} ; @{Name=; Running OS=Microsoft Windows Server 2019 (64-bit); IP Address=148.175.206.18} ; 4209d6dd-ff41-843a-0c0b-7e3bd8a5e6b1  
@{Name=BRGRUTS1} ; @{Name=; Running OS=Microsoft Windows Server 2019 (64-bit); IP Address=148.175.206.27} ; 4209d466-4d4a-6704-892c-1fb5f979c35d 
